id;question;cross_check_id
1;Общая оценка - по сравнению с прошлым годом (+1 сотрудник прогрессирует, 0 - ничего не изменилось, -1 тенденция отрицательная);1
2;Текущая квалификация как специалиста (проектировщика для всех, 3D-дизайнера для Дениса, начальника пр-ва для Копылова, бухгалтера);1
3;Текущий объем знаний в сфере деяельности компании (производственные процессы, ценообразование);1
4;Дисциплинированность (выполнение обещаний, соблюдение сроков, реакция на просьбы/указания);1
5;Отношение к коллегам (взаимовыручка, помощь и пр);1
6;Отношение к хозяйственным обязанностям в офисе (в т.ч. поддержание общего порядка,  личная аккуратность и чистоплотность);1
7;Стремление к познанию нового и поиску прогрессивных технологических решений, креативность мышления;1
8;Лояльность по отношению к компании (в т.ч. стабильность намерений, честность, корректность в высказываниях);1
9;Общая оценка - по сравнению с прошлым годом (+1 сотрудник прогрессирует, 0 - ничего не изменилось, -1 тенденция отрицательная);2
10;Текущая квалификация как специалиста (проектировщика для всех, 3D-дизайнера для Дениса, начальника пр-ва для Копылова, бухгалтера);2
11;Текущий объем знаний в сфере деяельности компании (производственные процессы, ценообразование);2
12;Дисциплинированность (выполнение обещаний, соблюдение сроков, реакция на просьбы/указания);2
13;Отношение к коллегам (взаимовыручка, помощь и пр);2
14;Отношение к хозяйственным обязанностям в офисе (в т.ч. поддержание общего порядка,  личная аккуратность и чистоплотность);2
15;Стремление к познанию нового и поиску прогрессивных технологических решений, креативность мышления;2
16;Лояльность по отношению к компании (в т.ч. стабильность намерений, честность, корректность в высказываниях);2